t,monthly_max,t_monthly_max,PMM
0.07024131628212912,1.5090001,1993-01-25 16:59:59.971200,3.8
0.097222190599069,1.539,1993-02-04 13:59:59.971200,2.59
0.1919398907103825,1.195,1993-03-11 06:00:00.000000,0.53
0.27117486338797814,1.2470001,1993-04-09 06:00:00.000000,-0.875
0.3559881602914389,1.2310001,1993-05-10 07:00:00.028800,-0.25
0.42383879781420764,1.2040001,1993-06-04 03:00:00.000000,1.085
0.5680783242258652,1.2470001,1993-07-26 22:00:00.028800,1.96
0.6288706739526412,1.2800001,1993-08-18 04:00:00.028800,1.91
0.7448770491803278,1.2980001,1993-09-29 15:00:00.000000,2.0949999999999998
0.7560336660089051,1.2590001,1993-10-03 16:59:59.971200,3.125
0.8706739526411658,1.335,1993-11-14 16:00:00.028800,3.21
0.9936247723132969,1.4480001,1993-12-29 16:00:00.028800,3.005
1.029143897996357,1.5970001,1994-01-10 16:00:00.028800,3.09
1.1548269581056467,1.3470001,1994-02-25 16:00:00.028800,3.4299999999999997
1.1856784747520746,1.393,1994-03-08 22:59:59.971200,4.17
1.266507285974499,1.3110001,1994-04-07 13:00:00.028800,3.29
1.4079007285974499,1.332,1994-05-29 07:00:00.028800,2.0549999999999997
1.4487704918032787,1.302,1994-06-13 06:00:00.000000,3.72
1.5817395264116576,1.189,1994-07-31 22:00:00.028800,5.390000000000001
1.6581284153005464,1.2470001,1994-08-28 21:00:00.000000,4.62
1.6878415300546448,1.3590001,1994-09-08 18:00:00.000000,3.165
1.761384335154827,1.292,1994-10-05 16:00:00.028800,0.78
1.834927108631856,1.3440001,1994-11-01 13:59:59.971200,-2.485
1.9804189119105444,1.3840001,1994-12-24 19:59:59.971200,-3.5199999999999996
2.0779826958105647,1.536,1995-01-28 13:00:00.028800,-1.665
2.1302367941712204,1.353,1995-02-16 16:00:00.028800,2.295
2.2177822998886865,1.378,1995-03-20 16:59:59.971200,4.1850000000000005
2.290072859744991,1.3620001,1995-04-16 04:00:00.028800,4.13
2.3637295081967213,1.3560001,1995-05-13 03:00:00.000000,3.825
2.451388857265736,1.2800001,1995-06-14 04:59:59.971200,2.295
2.5799180327868854,1.268,1995-07-31 06:00:00.000000,2.16
2.604052791691965,1.314,1995-08-09 01:59:59.971200,2.79
2.734061930783242,1.3080001,1995-09-25 16:00:00.028800,2.6399999999999997
2.772313296903461,1.2620001,1995-10-09 16:00:00.028800,2.435
2.900842409178304,1.5580001,1995-11-25 16:59:59.971200,3.47
2.9887295081967213,1.6730001,1995-12-27 21:00:00.000000,3.6
3.0268669993422384,1.6830001,1996-01-09 19:59:59.971200,2.99
3.1002959610908722,1.6910001,1996-02-05 16:59:59.971200,2.6799999999999997
3.2046903460837886,1.4080001,1996-03-14 22:00:00.028800,2.5149999999999997
3.2684426229508197,1.2310001,1996-04-07 06:00:00.000000,3.26
3.391507285974499,1.2830001,1996-05-22 07:00:00.028800,3.395
3.424066452894151,1.296,1996-06-03 04:59:59.971200,1.68
3.576844262295082,1.3510001,1996-07-29 03:00:00.000000,0.8899999999999999
3.623406193078324,1.3540001,1996-08-15 04:00:00.028800,1.69
